Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
568	568	568	1	0.151000	0.151000	0.151000	0.151000	0.151000	1501	140314	100128	40186	1656098208	2.790421	281472829270027.406250	
576	576	576	1	0.157000	0.157000	0.157000	0.157000	0.157000	2125	130257	91511	38746	1726904992	2.912903	281472829270027.406250	
584	584	584	1	0.164000	0.164000	0.164000	0.164000	0.164000	1845	163815	113856	49959	1800139190	3.028076	281472829270027.406250	
592	592	592	1	0.171000	0.171000	0.171000	0.171000	0.171000	1686	177410	127803	49607	1874636221	3.159439	281472829270027.406250	
600	600	600	1	0.178000	0.178000	0.178000	0.178000	0.178000	2494	182064	123540	58524	1952540650	3.303558	281472829270027.406250	
608	608	608	1	0.185000	0.185000	0.185000	0.185000	0.185000	2335	184748	118466	66282	2031877902	3.420242	281472829270027.406250	
616	616	616	1	0.192000	0.192000	0.192000	0.192000	0.192000	1754	196351	133801	62550	2111778097	3.572128	281472829270027.406250	
624	624	624	1	0.200000	0.200000	0.200000	0.200000	0.200000	2078	227718	153107	74611	2195454993	3.708145	281472829270027.406250	
632	632	632	1	0.207000	0.207000	0.207000	0.207000	0.207000	2085	229390	146795	82595	2280726518	3.858582	281472829270027.406250	
640	640	640	1	0.215000	0.215000	0.215000	0.215000	0.215000	3107	210180	123737	86443	2368832989	4.012131	281472829270027.406250	
648	648	648	1	0.223000	0.223000	0.223000	0.223000	0.223000	3449	257169	159881	97288	2459596431	4.158203	281472829270027.406250	
656	656	656	1	0.232000	0.232000	0.232000	0.232000	0.232000	1981	250992	167877	83115	2549711864	4.281952	281472829270027.406250	
664	664	664	1	0.240000	0.240000	0.240000	0.240000	0.240000	2376	265197	164757	100440	2644445067	4.462952	281472829270027.406250	
672	672	672	1	0.249000	0.249000	0.249000	0.249000	0.249000	2810	256878	152093	104785	2741724219	4.626190	281472829270027.406250	
680	680	680	1	0.258000	0.258000	0.258000	0.258000	0.258000	2834	281291	172496	108795	2840887790	4.797333	281472829270027.406250	
688	688	688	1	0.267000	0.267000	0.267000	0.267000	0.267000	2146	299418	193024	106394	2940990141	4.966751	281472829270027.406250	
696	696	696	1	0.276000	0.276000	0.276000	0.276000	0.276000	2324	308142	186887	121255	3044883221	5.130463	281472829270027.406250	
704	704	704	1	0.286000	0.286000	0.286000	0.286000	0.286000	3704	300177	165880	134297	3152877389	5.324249	281472829270027.406250	
712	712	712	1	0.296000	0.296000	0.296000	0.296000	0.296000	2545	321605	197798	123807	3259180294	5.483246	281472829270027.406250	
720	720	720	1	0.306000	0.306000	0.306000	0.306000	0.306000	2447	358495	220362	138133	3370468876	5.689957	281472829270027.406250	
728	728	728	1	0.316000	0.316000	0.316000	0.316000	0.316000	3330	371702	216410	155292	3485323107	5.886124	281472829270027.406250	
736	736	736	1	0.326000	0.326000	0.326000	0.326000	0.326000	2616	338052	193976	144076	3599685134	6.049545	281472829270027.406250	
744	744	744	1	0.337000	0.337000	0.337000	0.337000	0.337000	2860	385239	228455	156784	3718603906	6.257172	281472829270027.406250	
752	752	752	1	0.348000	0.348000	0.348000	0.348000	0.348000	3475	413154	250841	162313	3841253456	6.490189	281472829270027.406250	
760	760	760	1	0.359000	0.359000	0.359000	0.359000	0.359000	2665	397971	239934	158037	3962930736	6.657318	281472829270027.406250	
768	768	768	1	0.370000	0.370000	0.370000	0.370000	0.370000	3516	347987	175594	172393	4089752737	6.852951	281472829270027.406250	
776	776	776	1	0.382000	0.382000	0.382000	0.382000	0.382000	3610	435882	253098	182784	4220240404	7.107483	281472829270027.406250	
