
Test config
Factor: 0
A: row-based naive
B: column-based naive
C: row-based naive
n	p	m	Trials	Min    [s]	Lower  [s]	Median [s]	Upper  [s]	Max [s]	L2 hits	L2 misses	L3 hits	L3 misses	Inst. ret.	CPU Energy [J]	DRAM Energy [J]
584	584	584	1	0.158000	0.158000	0.158000	0.158000	0.158000	3273	221187	152756	68431	1804089362	2.937363	281474966163592.281250	
592	592	592	1	0.164000	0.164000	0.164000	0.164000	0.164000	2220	223225	155002	68223	1877712545	3.058792	281474966163592.281250	
600	600	600	1	0.171000	0.171000	0.171000	0.171000	0.171000	2205	233760	161664	72096	1954841938	3.197983	281474966163592.281250	
608	608	608	1	0.178000	0.178000	0.178000	0.178000	0.178000	3125	251279	159321	91958	2034581050	3.326843	281474966163592.281250	
616	616	616	1	0.185000	0.185000	0.185000	0.185000	0.185000	2218	256862	176124	80738	2115022646	3.431992	281474966163592.281250	
624	624	624	1	0.192000	0.192000	0.192000	0.192000	0.192000	4506	280477	183160	97317	2200394947	3.598038	281474966163592.281250	
632	632	632	1	0.200000	0.200000	0.200000	0.200000	0.200000	2283	289290	194873	94417	2283819302	3.732437	281474966163592.281250	
640	640	640	1	0.208000	0.208000	0.208000	0.208000	0.208000	2783	269572	157565	112007	2371510275	3.857025	281474966163592.281250	
648	648	648	1	0.215000	0.215000	0.215000	0.215000	0.215000	12105	335138	212452	122686	2464006192	4.041885	281474966163592.281250	
656	656	656	1	0.223000	0.223000	0.223000	0.223000	0.223000	2754	325333	215560	109773	2554290369	4.170288	281474966163592.281250	
664	664	664	1	0.232000	0.232000	0.232000	0.232000	0.232000	3572	341142	223285	117857	2649251981	4.326324	281474966163592.281250	
672	672	672	1	0.240000	0.240000	0.240000	0.240000	0.240000	2556	343475	220529	122946	2744785659	4.487793	281474966163592.281250	
680	680	680	1	0.249000	0.249000	0.249000	0.249000	0.249000	3574	377654	243627	134027	2844378070	4.659302	281474966163592.281250	
688	688	688	1	0.261000	0.261000	0.261000	0.261000	0.261000	3836	505026	257636	247390	2947885899	4.898682	281474966163592.281250	
696	696	696	1	0.267000	0.267000	0.267000	0.267000	0.267000	4192	422302	270562	151740	3051014961	4.989578	281474966163592.281250	
704	704	704	1	0.276000	0.276000	0.276000	0.276000	0.276000	3654	384829	234497	150332	3155844991	5.151642	281474966163592.281250	
712	712	712	1	0.293000	0.293000	0.293000	0.293000	0.293000	2763	617398	278734	338664	3263998816	5.463242	281474966163592.281250	
720	720	720	1	0.297000	0.297000	0.297000	0.297000	0.297000	4385	478534	285979	192555	3376689786	5.538635	281474966163592.281250	
728	728	728	1	0.310000	0.310000	0.310000	0.310000	0.310000	2810	592505	292214	300291	3488310937	5.766708	281474966163592.281250	
736	736	736	1	0.317000	0.317000	0.317000	0.317000	0.317000	4170	504628	286964	217664	3605140090	5.941254	281474966163592.281250	
744	744	744	1	0.331000	0.331000	0.331000	0.331000	0.331000	4757	662034	312774	349260	3725024180	6.172363	281474966163592.281250	
752	752	752	1	0.336000	0.336000	0.336000	0.336000	0.336000	3734	501192	334711	166481	3844641646	6.269806	281474966163592.281250	
760	760	760	1	0.355000	0.355000	0.355000	0.355000	0.355000	2888	799005	343298	455707	3968732784	6.649643	281474966163592.281250	
768	768	768	1	0.367000	0.367000	0.367000	0.367000	0.367000	5268	732477	236002	496475	4095775490	6.823868	281474966163592.281250	
776	776	776	1	0.379000	0.379000	0.379000	0.379000	0.379000	4070	841707	366683	475024	4224212516	7.070953	281474966163592.281250	
784	784	784	1	0.395000	0.395000	0.395000	0.395000	0.395000	5329	990468	373307	617161	4358029130	7.372330	281474966163592.281250	
792	792	792	1	0.418000	0.418000	0.418000	0.418000	0.418000	4307	1478103	385757	1092346	4490568843	7.752121	281474966163592.281250	
800	800	800	1	0.420000	0.420000	0.420000	0.420000	0.420000	5803	986965	366119	620846	4630255113	7.851639	281474966163592.281250	
808	808	808	1	0.441000	0.441000	0.441000	0.441000	0.441000	4442	1328811	418492	910319	4768656143	8.210968	281474966163592.281250	
816	816	816	1	0.466000	0.466000	0.466000	0.466000	0.466000	5049	1738468	415169	1323299	4911607528	8.642151	281474966163592.281250	
824	824	824	1	0.471000	0.471000	0.471000	0.471000	0.471000	4763	1540177	424677	1115500	5056921432	8.736008	281474966163592.281250	
832	832	832	1	0.484000	0.484000	0.484000	0.484000	0.484000	4944	1515484	392784	1122700	5205620242	8.980774	281474966163592.281250	
840	840	840	1	0.510000	0.510000	0.510000	0.510000	0.510000	4657	1895042	445397	1449645	5356744301	9.431885	281474966163592.281250	
848	848	848	1	0.538000	0.538000	0.538000	0.538000	0.538000	5179	2412098	457546	1954552	5511138625	9.926758	281474966163592.281250	
856	856	856	1	0.562000	0.562000	0.562000	0.562000	0.562000	5884	2653621	474204	2179417	5668879850	10.351227	281474966163592.281250	
864	864	864	1	0.574000	0.574000	0.574000	0.574000	0.574000	14743	2720427	440889	2279538	5831379769	10.583755	281474966163592.281250	
872	872	872	1	0.596000	0.596000	0.596000	0.596000	0.596000	5833	2953536	489057	2464479	5992516228	10.975937	281474966163592.281250	
880	880	880	1	0.609000	0.609000	0.609000	0.609000	0.609000	5384	3011381	491966	2519415	6158625274	11.238922	281474966163592.281250	
888	888	888	1	0.643000	0.643000	0.643000	0.643000	0.643000	6168	3770312	492630	3277682	6328219215	11.797195	281474966163592.281250	
896	896	896	1	0.731000	0.731000	0.731000	0.731000	0.731000	5655	15815392	347509	15467883	6498715107	13.375809	281474966163592.281250	
904	904	904	1	0.721000	0.721000	0.721000	0.721000	0.721000	8054	8496299	485157	8011142	6676646377	13.230423	281474966163592.281250	
912	912	912	1	0.730000	0.730000	0.730000	0.730000	0.730000	5795	5161569	517292	4644277	6854334113	13.335907	281474966163592.281250	
920	920	920	1	0.770000	0.770000	0.770000	0.770000	0.770000	7467	7082783	512850	6569933	7036272669	14.026642	281474966163592.281250	
928	928	928	1	0.809000	0.809000	0.809000	0.809000	0.809000	5806	7708146	476507	7231639	7220437894	14.724854	281474966163592.281250	
936	936	936	1	0.839000	0.839000	0.839000	0.839000	0.839000	9914	7869068	543808	7325260	7409414879	15.307007	281474966163592.281250	
944	944	944	1	0.882000	0.882000	0.882000	0.882000	0.882000	7319	8636559	539363	8097196	7600688170	16.047943	281474966163592.281250	
952	952	952	1	1.047000	1.047000	1.047000	1.047000	1.047000	7566	36814206	360805	36453401	7795464558	18.996674	281474966163592.281250	
960	960	960	1	0.962000	0.962000	0.962000	0.962000	0.962000	23354	11274597	483996	10790601	7996108051	17.381866	281474966163592.281250	
968	968	968	1	0.990000	0.990000	0.990000	0.990000	0.990000	7623	11059486	559356	10500130	8194451859	17.855026	281474966163592.281250	
976	976	976	1	1.005000	1.005000	1.005000	1.005000	1.005000	7586	11172855	586336	10586519	8399115339	18.141830	281474966163592.281250	
984	984	984	1	1.079000	1.079000	1.079000	1.079000	1.079000	9293	14859855	580441	14279414	8609192787	19.462158	281474966163592.281250	
992	992	992	1	1.144000	1.144000	1.144000	1.144000	1.144000	8581	16600287	519739	16080548	8819599669	20.493057	281474966163592.281250	
1000	1000	1000	1	1.195000	1.195000	1.195000	1.195000	1.195000	8257	18864609	569353	18295256	9033138664	21.411331	281474966163592.281250	
1008	1008	1008	1	1.227000	1.227000	1.227000	1.227000	1.227000	9987	18372260	584026	17788234	9252772736	22.001068	281474966163592.281250	
1016	1016	1016	1	1.265000	1.265000	1.265000	1.265000	1.265000	49165	20993390	610512	20382878	9494393044	22.749466	281474966163592.281250	
1024	1024	1024	1	1.327000	1.327000	1.327000	1.327000	1.327000	15986	23613212	307850	23305362	9700644729	23.670532	281474966163592.281250	
